,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
287,80,110,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
288,20,130,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
289,40,130,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
290,60,130,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
291,80,130,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
292,20,150,240,199505.17896979998,1981.2456967999742,961.0,197523.933273,0.027983101477173988
293,40,150,240,188723.96665865002,38.25308464999216,918.0,188685.71357400002,0.024018726615564808
294,60,150,240,173348.5887434,78.37464439999349,843.0,173270.214099,0.020822991257946944
295,80,150,240,171254.1109971,39.296828099992126,833.0,171214.81416900002,0.02035665959548417
296,20,170,240,199689.3829187,1959.9096526999829,962.0,197729.47326600002,0.028005620714984265
297,40,170,240,188723.96665865002,38.25308464999216,918.0,188685.71357400002,0.024018726615564808
298,60,170,240,173348.5887434,78.37464439999349,843.0,173270.214099,0.020822991257946944
299,80,170,240,171254.1109971,39.296828099992126,833.0,171214.81416900002,0.02035665959548417
300,20,190,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
301,40,190,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
302,60,190,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
303,80,190,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
304,20,210,240,196898.5279657,2046.614601699992,948.0,194851.913364,0.02793549684131647
305,40,210,240,189736.13397825,22.720439249990136,923.0,189713.413539,0.02430136957086778
306,60,210,240,173706.52395479998,25.22986979999223,845.0,173681.294085,0.020900865929764922
307,80,210,240,172668.31073235,14.716612349994094,840.0,172653.59412,0.02062368695912114
308,20,230,240,197453.53843935,135.14515934998965,960.0,197318.39328000002,0.026671744897463823
309,40,230,240,199879.2392255,1122.0659944999877,967.0,198757.17323100002,0.027053697251293488
310,60,230,240,180760.36125335,90.70740634999129,879.0,180669.653847,0.022774862069360618
311,80,230,240,176769.8714585,5.477478499992074,860.0,176764.39398000002,0.02152098465994342
312,20,10,260,175317.79938125002,3280.8252402499984,837.0,172036.974141,0.021219163763802906
313,40,10,260,179484.31011895,47.89622994999172,873.0,179436.41388900002,0.022385491767639126
314,60,10,260,162030.56493595,65.05045194999548,788.0,161965.514484,0.01825864439226762
315,80,10,260,170198.49306535002,11.378861349995375,828.0,170187.114204,0.019758474346375034
